UID,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20
Henan-Mainland China,Henan,Mainland China,33.88202,113.614,5,10,19,51,133,260,427,630,904,1251,1668,2149,2697,3343,4058,4851,5676,6537,7411,8287,9167,10048,10911,11727,12535,13313,14034,14750,15420,16029,16541,16962,17346,17655,17905,18124,18308,18448,18529,18581,18626,18645,18661,18672,18678,18684
"Hillsborough, FL-US","Hillsborough, FL",US,27.9904,-82.3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,9,11
Hong Kong-Hong Kong,Hong Kong,Hong Kong,22.3,114.2,0,2,4,9,17,25,33,43,53,65,78,93,108,124,144,167,191,216,244,281,329,377,428,482,536,590,647,706,762,822,883,944,1005,1063,1126,1191,1257,1319,1379,1437,1499,1560,1626,1686,1745,1800
"Honolulu County, HI-US","Honolulu County, HI",US,21.307,-157.8584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 Hubei-Mainland China , Hubei , Mainland China , 31 , 112 , 399 , 798 ," 1,292 "," 1,981 "," 2,945 "," 4,247 "," 7,596 "," 10,937 "," 15,588 "," 21,049 "," 27,785 "," 38,317 "," 51,039 "," 66,716 "," 85,199 "," 105,876 "," 129,015 "," 153,896 "," 180,861 "," 209,393 "," 239,052 "," 268,664 "," 312,101 "," 360,276 "," 409,306 "," 459,153 "," 509,491 "," 560,124 "," 609,789 "," 658,299 "," 706,936 "," 753,375 "," 799,770 "," 844,814 "," 888,066 "," 929,669 "," 969,241 "," 1,006,070 "," 1,040,687 "," 1,073,297 "," 1,103,663 "," 1,131,837 "," 1,157,741 "," 1,181,713 "," 1,204,341 "," 1,225,548 "
"Humboldt County, CA-US","Humboldt County, CA",US,40.745,-123.8695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Hunan-Mainland China,Hunan,Mainland China,27.6104,111.7088,4,13,37,80,149,249,392,613,888,1218,1599,2046,2545,3107,3714,4344,5004,5650,6301,6971,7635,8275,8902,9524,10098,10635,11140,11616,12059,12431,12777,13094,13392,13673,13917,14146,14355,14538,14706,14854,14981,15089,15187,15263,15322,15376
Inner Mongolia-Mainland China,Inner Mongolia,Mainland China,44.0935,113.9448,0,0,1,8,15,26,41,57,76,95,117,143,176,210,249,291,336,383,432,485,538,592,647,706,767,829,893,958,1023,1082,1140,1189,1237,1278,1318,1355,1387,1417,1443,1466,1487,1502,1513,1522,1531,1538
"Jackson County, OR -US","Jackson County, OR ",US,42.3345,-122.7647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Jefferson County, WA-US","Jefferson County, WA",US,47.7425,-123.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jiangsu-Mainland China,Jiangsu,Mainland China,32.9711,119.455,1,6,15,32,64,110,179,277,405,568,764,993,1256,1552,1870,2209,2574,2962,3359,3770,4192,4610,5041,5477,5895,6294,6662,7011,7324,7599,7857,8087,8300,8479,8652,8805,8938,9054,9162,9257,9345,9414,9468,9516,9553,9578
Jiangxi-Mainland China,Jiangxi,Mainland China,27.614,115.7221,2,9,27,45,81,151,257,363,520,753,1030,1351,1724,2180,2701,3264,3880,4523,5190,5855,6530,7221,7922,8634,9336,10020,10674,11296,11867,12367,12811,13189,13509,13797,14047,14261,14440,14584,14707,14810,14894,14958,15008,15041,15066,15084
Jilin-Mainland China,Jilin,Mainland China,43.6661,126.1923,0,1,4,8,12,18,26,35,48,61,77,99,129,170,222,277,337,401,466,532,594,654,713,773,834,892,946,998,1050,1097,1142,1180,1216,1248,1277,1304,1329,1348,1365,1379,1388,1397,1403,1407,1409,1411
"Kershaw County, SC-US","Kershaw County, SC",US,34.3672,-80.5883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"King County, WA-US","King County, WA",US,47.6062,-122.3321,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,22,29,37,51,72,112,157,212
"Klamath County, OR-US","Klamath County, OR",US,42.6953,-121.6142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
